 3.16501164e-04 -6.49595995e-01  3.16501164e-04 -1.53144525e+00 
 3.17751164e-04 -6.49592074e-01  3.17751164e-04 -1.53142243e+00 
 3.19001164e-04 -6.49588153e-01  3.19001164e-04 -1.53139961e+00 
 3.20251164e-04 -6.49584232e-01  3.20251164e-04 -1.53137679e+00 
 3.21501164e-04 -6.49580311e-01  3.21501164e-04 -1.53135398e+00 
 3.22751164e-04 -6.49576390e-01  3.22751164e-04 -1.53133116e+00 
 3.24001164e-04 -6.49572469e-01  3.24001164e-04 -1.53130834e+00 
 3.25251164e-04 -6.49568548e-01  3.25251164e-04 -1.53128552e+00 
 3.26501164e-04 -6.49564627e-01  3.26501164e-04 -1.53126270e+00 
 3.27751164e-04 -6.49560706e-01  3.27751164e-04 -1.53123988e+00 
 3.29001164e-04 -6.49556785e-01  3.29001164e-04 -1.53121706e+00 
 3.30251164e-04 -6.49552865e-01  3.30251164e-04 -1.53119424e+00 
 3.31501164e-04 -6.49548944e-01  3.31501164e-04 -1.53117143e+00 
 3.32751164e-04 -6.49545023e-01  3.32751164e-04 -1.53114861e+00 
 3.34001164e-04 -6.49541102e-01  3.34001164e-04 -1.53112579e+00 
 3.35251164e-04 -6.49537181e-01  3.35251164e-04 -1.53110297e+00 
 3.36501164e-04 -6.49533260e-01  3.36501164e-04 -1.53108016e+00 
 3.37751164e-04 -6.49529340e-01  3.37751164e-04 -1.53105734e+00 
 3.39001164e-04 -6.49525419e-01  3.39001164e-04 -1.53103452e+00 
 3.40251164e-04 -6.49521498e-01  3.40251164e-04 -1.53101169e+00 
 3.41501164e-04 -6.49517577e-01  3.41501164e-04 -1.53098887e+00 
 3.42751164e-04 -6.49513656e-01  3.42751164e-04 -1.53096605e+00 
 3.44001164e-04 -6.49509735e-01  3.44001164e-04 -1.53094323e+00 
 3.45251164e-04 -6.49505814e-01  3.45251164e-04 -1.53092041e+00 
 3.46501164e-04 -6.49501893e-01  3.46501164e-04 -1.53089759e+00 
 3.47751164e-04 -6.49497973e-01  3.47751164e-04 -1.53087477e+00 
 3.49001164e-04 -6.49494051e-01  3.49001164e-04 -1.53085195e+00 
 3.50251164e-04 -6.49490130e-01  3.50251164e-04 -1.53082913e+00 
