theta_deg,C1_pF,C2_pF,T_varicap_mNm,T_shuttle_mNm,T_cem_mNm,tier
32.583,38.73,257.27,6759.8476,0.0000,0.0000,OC
32.667,39.47,256.53,-0.0000,0.0000,0.0000,OC
32.750,40.20,255.80,-7580.2175,0.0000,0.0000,OC
32.833,40.93,255.07,-820.3699,0.0000,0.0000,OC
32.917,41.67,254.33,7580.2175,0.0000,0.0000,OC
33.000,42.40,253.60,-787.5551,0.0000,0.0000,OC
33.083,43.13,252.87,-1640.7397,0.0000,0.0000,OC
33.167,43.87,252.13,1673.5545,0.0000,0.0000,OC
33.250,44.60,251.40,-0.0000,0.0000,0.0000,OC
33.333,45.33,250.67,-1640.7397,0.0000,0.0000,OC
33.417,46.07,249.93,-0.0000,0.0000,0.0000,OC
33.500,46.80,249.20,-0.0000,0.0000,0.0000,OC
33.583,47.53,248.47,-0.0000,0.0000,0.0000,OC
33.667,48.27,247.73,-0.0000,0.0000,0.0000,OC
33.750,49.00,247.00,-0.0000,0.0000,0.0000,OC
33.833,49.73,246.27,-0.0000,0.0000,0.0000,OC
33.917,50.47,245.53,-0.0000,0.0000,0.0000,OC
34.000,51.20,244.80,-0.0000,0.0000,0.0000,OC
34.083,51.93,244.07,6497.3293,0.0000,0.0000,OC
34.167,52.67,243.33,-0.0000,0.0000,0.0000,OC
34.250,53.40,242.60,-8072.4394,0.0000,0.0000,OC
34.333,54.13,241.87,4823.7748,0.0000,0.0000,OC
34.417,54.87,241.13,1607.9249,0.0000,0.0000,OC
34.500,55.60,240.40,-0.0000,0.0000,0.0000,OC
34.583,56.33,239.67,11189.8449,0.0000,0.0000,OC
34.667,57.07,238.93,-6431.6997,0.0000,0.0000,OC
34.750,57.80,238.20,-12797.7698,0.0000,0.0000,OC
34.833,58.53,237.47,12732.1402,0.0000,0.0000,OC
34.917,59.27,236.73,-0.0000,0.0000,0.0000,OC
35.000,60.00,236.00,-12699.3254,0.0000,0.0000,OC
35.083,60.73,235.27,6333.2553,0.0000,0.0000,OC
35.167,61.47,234.53,-0.0000,0.0000,0.0000,OC
35.250,62.20,233.80,-1575.1101,0.0000,0.0000,OC
35.333,62.93,233.07,7842.7358,0.0000,0.0000,OC
35.417,63.67,232.33,-4725.3304,0.0000,0.0000,OC
35.500,64.40,231.60,-9385.0312,0.0000,0.0000,OC
35.583,65.13,230.87,7777.1062,0.0000,0.0000,OC
35.667,65.87,230.13,1575.1101,0.0000,0.0000,OC
35.750,66.60,229.40,-9319.4016,0.0000,0.0000,OC
35.833,67.33,228.67,7744.2915,0.0000,0.0000,OC
35.917,68.07,227.93,4659.7008,0.0000,0.0000,OC
36.000,68.80,227.20,-6201.9961,0.0000,0.0000,OC
36.083,69.53,226.47,4626.8860,0.0000,0.0000,OC
36.167,70.27,225.73,-3084.5907,0.0000,0.0000,OC
36.250,71.00,225.00,-7645.8471,0.0000,0.0000,OC
36.333,71.73,224.27,9155.3276,0.0000,0.0000,OC
36.417,72.47,223.53,1542.2953,0.0000,0.0000,OC
