gap,dtheta_deg,r_mm,d_ball_mm,rpm,overlap_deg,t_overlap_us,t_need_us,spacing_deg,A1_fits,A1_margin_us,A2_nocross,A2_margin_deg,A3_envelope,A4_strike,eta_real,viable
SG3b,-2,250,4,3000,1.375,76.39,4.30,4.95,True,72.1,True,3.57,True,True,0.7049,True
SG3b,-2,250,4,4500,1.375,50.93,4.30,4.95,True,46.6,True,3.57,True,True,0.7058,True
SG3b,-2,250,4,6000,1.375,38.20,4.30,4.95,True,33.9,True,3.57,True,True,0.7063,True
SG3b,-2,250,8,3000,2.292,127.32,4.30,4.95,True,123.0,True,2.66,True,True,0.7029,True
SG3b,-2,250,8,4500,2.292,84.88,4.30,4.95,True,80.6,True,2.66,True,True,0.7045,True
SG3b,-2,250,8,6000,2.292,63.66,4.30,4.95,True,59.4,True,2.66,True,True,0.7053,True
SG3b,-2,250,12,3000,3.209,178.25,4.30,4.95,True,174.0,True,1.74,True,True,0.7010,True
SG3b,-2,250,12,4500,3.209,118.84,4.30,4.95,True,114.5,True,1.74,True,True,0.7033,True
SG3b,-2,250,12,6000,3.209,89.13,4.30,4.95,True,84.8,True,1.74,True,True,0.7044,True
SG3b,-2,250,16,3000,4.125,229.18,4.30,4.95,True,224.9,True,0.82,True,True,0.6991,True
SG3b,-2,250,16,4500,4.125,152.79,4.30,4.95,True,148.5,True,0.82,True,True,0.7020,True
SG3b,-2,250,16,6000,4.125,114.59,4.30,4.95,True,110.3,True,0.82,True,True,0.7034,True
SG3b,-2,250,20,3000,5.042,280.11,4.30,4.95,True,275.8,False,-0.09,True,True,0.6972,False
SG3b,-2,250,20,4500,5.042,186.74,4.30,4.95,True,182.4,False,-0.09,True,True,0.7007,False
SG3b,-2,250,20,6000,5.042,140.06,4.30,4.95,True,135.8,False,-0.09,True,True,0.7025,False
SG3b,-2,300,4,3000,1.146,63.66,4.30,4.95,True,59.4,True,3.80,True,True,0.7053,True
SG3b,-2,300,4,4500,1.146,42.44,4.30,4.95,True,38.1,True,3.80,True,True,0.7061,True
SG3b,-2,300,4,6000,1.146,31.83,4.30,4.95,True,27.5,True,3.80,True,True,0.7065,True
